VariableName,Code,CodeCategory,CodeType,Description,CareSetting,MinimumGap,MaximumGap
Primary malignancy,203.80,DX,9,"Other immunoproliferative neoplasms, without mention of having achieved remission",NA,,
Primary malignancy,203.81,DX,9,"Other immunoproliferative neoplasms, in remission",NA,,
Primary malignancy,203.82,DX,9,"Other immunoproliferative neoplasms, in relapse",NA,,
Primary malignancy,204.00,DX,9,"Acute lymphoid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,204.01,DX,9,"Acute lymphoid leukemia, in remission",NA,,
Primary malignancy,204.02,DX,9,"Acute lymphoid leukemia, in relapse",NA,,
Primary malignancy,204.10,DX,9,"Chronic lymphoid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,204.11,DX,9,"Chronic lymphoid leukemia, in remission",NA,,
Primary malignancy,204.12,DX,9,"Chronic lymphoid leukemia, in relapse",NA,,
Primary malignancy,204.20,DX,9,"Subacute lymphoid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,204.21,DX,9,"Subacute lymphoid leukemia, in remission",NA,,
Primary malignancy,204.22,DX,9,"Subacute lymphoid leukemia, in relapse",NA,,
Primary malignancy,204.80,DX,9,"Other lymphoid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,204.81,DX,9,"Other lymphoid leukemia, in remission",NA,,
Primary malignancy,204.82,DX,9,"Other lymphoid leukemia, in relapse",NA,,
Primary malignancy,204.90,DX,9,"Unspecified lymphoid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,204.91,DX,9,"Unspecified lymphoid leukemia, in remission",NA,,
Primary malignancy,204.92,DX,9,"Unspecified lymphoid leukemia, in relapse",NA,,
Primary malignancy,205.00,DX,9,"Acute myeloid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,205.01,DX,9,"Acute myeloid leukemia, in remission",NA,,
Primary malignancy,205.02,DX,9,"Acute myeloid leukemia, in relapse",NA,,
Primary malignancy,205.10,DX,9,"Chronic myeloid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,205.11,DX,9,"Chronic myeloid leukemia, in remission",NA,,
Primary malignancy,205.12,DX,9,"Chronic myeloid leukemia, in relapse",NA,,
Primary malignancy,205.20,DX,9,"Subacute myeloid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,205.21,DX,9,"Subacute myeloid leukemia,in remission",NA,,
Primary malignancy,205.22,DX,9,"Subacute myeloid leukemia, in relapse",NA,,
Primary malignancy,205.30,DX,9,"Myeloid sarcoma, without mention of having achieved remission",NA,,
Primary malignancy,205.31,DX,9,"Myeloid sarcoma, in remission",NA,,
Primary malignancy,205.32,DX,9,"Myeloid sarcoma, in relapse",NA,,
Primary malignancy,205.80,DX,9,"Other myeloid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,205.81,DX,9,"Other myeloid leukemia, in remission",NA,,
Primary malignancy,205.82,DX,9,"Other myeloid leukemia, in relapse",NA,,
Primary malignancy,205.90,DX,9,"Unspecified myeloid leukemia, without mention of having achieved remission",NA,,
Primary malignancy,205.91,DX,9,"Unspecified myeloid leukemia, in remission",NA,,
Primary malignancy,205.92,DX,9,"Unspecified myeloid leukemia, in relapse",NA,,
Primary malignancy,206.00,DX,9,"Acute monocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,206.01,DX,9,"Acute monocytic leukemia,in remission",NA,,
Primary malignancy,206.02,DX,9,"Acute monocytic leukemia, in relapse",NA,,
Primary malignancy,206.10,DX,9,"Chronic monocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,206.11,DX,9,"Chronic monocytic leukemia, in remission",NA,,
Primary malignancy,206.12,DX,9,"Chronic monocytic leukemia, in relapse",NA,,
Primary malignancy,206.20,DX,9,"Subacute monocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,206.21,DX,9,"Subacute monocytic leukemia, in remission",NA,,
Primary malignancy,206.22,DX,9,"Subacute monocytic leukemia, in relapse",NA,,
Primary malignancy,206.80,DX,9,"Other monocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,206.81,DX,9,"Other monocytic leukemia, in remission",NA,,
Primary malignancy,206.82,DX,9,"Other monocytic leukemia, in relapse",NA,,
Primary malignancy,206.90,DX,9,"Unspecified monocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,206.91,DX,9,"Unspecified monocytic leukemia, in remission",NA,,
Primary malignancy,206.92,DX,9,"Unspecified monocytic leukemia, in relapse",NA,,
Primary malignancy,207.00,DX,9,"Acute erythremia and erythroleukemia, without mention of having achieved remission",NA,,
Primary malignancy,207.01,DX,9,"Acute erythremia and erythroleukemia, in remission",NA,,
Primary malignancy,207.02,DX,9,"Acute erythremia and erythroleukemia, in relapse",NA,,
Primary malignancy,207.10,DX,9,"Chronic erythremia, without mention of having achieved remission",NA,,
Primary malignancy,207.11,DX,9,"Chronic erythremia, in remission",NA,,
Primary malignancy,207.12,DX,9,"Chronic erythremia, in relapse",NA,,
Primary malignancy,207.20,DX,9,"Megakaryocytic leukemia, without mention of having achieved remission",NA,,
Primary malignancy,207.21,DX,9,"Megakaryocytic leukemia, in remission",NA,,
Primary malignancy,207.22,DX,9,"Megakaryocytic leukemia, in relapse",NA,,
Primary malignancy,207.80,DX,9,"Other specified leukemia, without mention of having achieved remission",NA,,
Primary malignancy,207.81,DX,9,"Other specified leukemia, in remission",NA,,
Primary malignancy,207.82,DX,9,"Other specified leukemia, in relapse",NA,,
Primary malignancy,208.00,DX,9,"Acute leukemia of unspecified cell type, without mention of having achieved remission",NA,,
Primary malignancy,208.01,DX,9,"Acute leukemia of unspecified cell type, in remission",NA,,
Primary malignancy,208.02,DX,9,"Acute leukemia of unspecified cell type, in relapse",NA,,
Primary malignancy,208.10,DX,9,"Chronic leukemia of unspecified cell type, without mention of having achieved remission",NA,,
Primary malignancy,208.11,DX,9,"Chronic leukemia of unspecified cell type, in remission",NA,,
Primary malignancy,208.12,DX,9,"Chronic leukemia of unspecified cell type, in relapse",NA,,
Primary malignancy,208.20,DX,9,"Subacute leukemia of unspecified cell type, without mention of having achieved remission",NA,,
Primary malignancy,208.21,DX,9,"Subacute leukemia of unspecified cell type, in remission",NA,,
Primary malignancy,208.22,DX,9,"Subacute leukemia of unspecified cell type, in relapse",NA,,
Primary malignancy,208.80,DX,9,"Other leukemia of unspecified cell type, without mention of having achieved remission",NA,,
Primary malignancy,208.81,DX,9,"Other leukemia of unspecified cell type, in remission",NA,,
Primary malignancy,208.82,DX,9,"Other leukemia of unspecified cell type, in relapse",NA,,
Primary malignancy,208.90,DX,9,"Unspecified leukemia, without mention of having achieved remission",NA,,
Primary malignancy,208.91,DX,9,"Unspecified leukemia, in remission",NA,,
Primary malignancy,208.92,DX,9,"Unspecified leukemia, in relapse",NA,,
Primary malignancy,209.0,DX,9,Malignant carcinoid tumors of the small intestine [Section Code],NA,,
Primary malignancy,209.00,DX,9,"Malignant carcinoid tumor of the small intestine, unspecified portion",NA,,
Primary malignancy,209.01,DX,9,Malignant carcinoid tumor of the duodenum,NA,,
Primary malignancy,209.02,DX,9,Malignant carcinoid tumor of the jejunum,NA,,
Primary malignancy,209.03,DX,9,Malignant carcinoid tumor of the ileum,NA,,
Primary malignancy,209.1,DX,9,"Malignant carcinoid tumors of the appendix, large intestine, and rectum [Section Code]",NA,,
Primary malignancy,209.10,DX,9,"Malignant carcinoid tumor of the large intestine, unspecified portion",NA,,
Primary malignancy,209.11,DX,9,Malignant carcinoid tumor of the appendix,NA,,
Primary malignancy,209.12,DX,9,Malignant carcinoid tumor of the cecum,NA,,
Primary malignancy,209.13,DX,9,Malignant carcinoid tumor of the ascending colon,NA,,
Primary malignancy,209.14,DX,9,Malignant carcinoid tumor of the transverse colon,NA,,
Primary malignancy,209.15,DX,9,Malignant carcinoid tumor of the descending colon,NA,,
Primary malignancy,209.16,DX,9,Malignant carcinoid tumor of the sigmoid colon,NA,,
Primary malignancy,209.17,DX,9,Malignant carcinoid tumor of the rectum,NA,,
Primary malignancy,209.2,DX,9,Malignant carcinoid tumor of unknown primary site [Section Code],NA,,
Primary malignancy,209.20,DX,9,Malignant carcinoid tumor of unknown primary site,NA,,
Primary malignancy,209.21,DX,9,Malignant carcinoid tumor of the bronchus and lung,NA,,
Primary malignancy,209.22,DX,9,Malignant carcinoid tumor of the thymus,NA,,
Primary malignancy,209.23,DX,9,Malignant carcinoid tumor of the stomach,NA,,
Primary malignancy,209.24,DX,9,Malignant carcinoid tumor of the kidney,NA,,
Primary malignancy,209.25,DX,9,"Malignant carcinoid tumor of foregut, not otherwise specified",NA,,
Primary malignancy,209.26,DX,9,"Malignant carcinoid tumor of midgut, not otherwise specified",NA,,
Primary malignancy,209.27,DX,9,"Malignant carcinoid tumor of hindgut, not otherwise specified",NA,,
Primary malignancy,209.29,DX,9,Malignant carcinoid tumor of other sites,NA,,
Primary malignancy,209.3,DX,9,"Malignant poorly differentiated neuroendocrine carcinoma, any site [Section Code]",NA,,
Primary malignancy,209.30,DX,9,"Malignant poorly differentiated neuroendocrine carcinoma, any site",NA,,
Primary malignancy,209.31,DX,9,"Merkel cell carcinoma of the face",NA,,
Primary malignancy,209.32,DX,9,"Merkel cell carcinoma of the scalp and neck",NA,,
Primary malignancy,209.33,DX,9,"Merkel cell carcinoma of the upper limb",NA,,
Primary malignancy,209.34,DX,9,"Merkel cell carcinoma of the lower limb",NA,,
Primary malignancy,209.35,DX,9,"Merkel cell carcinoma of the trunk",NA,,
Primary malignancy,209.36,DX,9,"Merkel cell carcinoma of other sites",NA,,
Metastasis,209.70,DX,9,"Secondary neuroendocrine tumor, unspecified site",NA,,
Metastasis,209.71,DX,9,"Secondary neuroendocrine tumor of distant lymph nodes",NA,,
Metastasis,209.72,DX,9,"Secondary neuroendocrine tumor of liver",NA,,
Metastasis,209.73,DX,9,"Secondary neuroendocrine tumor of bone",NA,,
Metastasis,209.74,DX,9,"Secondary neuroendocrine tumor of peritoneum",NA,,
Metastasis,209.75,DX,9,"Secondary Merkel cell carcinoma",NA,,
Metastasis,209.79,DX,9,"Secondary neuroendocrine tumor of other sites",NA,,
Primary malignancy,C00,DX,10,Malignant neoplasm of lip [Section Code],NA,,
Primary malignancy,C00.0,DX,10,Malignant neoplasm of external upper lip,NA,,
Primary malignancy,C00.1,DX,10,Malignant neoplasm of external lower lip,NA,,
Primary malignancy,C00.2,DX,10,"Malignant neoplasm of external lip, unspecified",NA,,
Primary malignancy,C00.3,DX,10,"Malignant neoplasm of upper lip, inner aspect",NA,,
Primary malignancy,C00.4,DX,10,"Malignant neoplasm of lower lip, inner aspect",NA,,
Primary malignancy,C00.5,DX,10,"Malignant neoplasm of lip, unspecified, inner aspect",NA,,
Primary malignancy,C00.6,DX,10,"Malignant neoplasm of commissure of lip, unspecified",NA,,
Primary malignancy,C00.8,DX,10,Malignant neoplasm of overlapping sites of lip,NA,,
Primary malignancy,C00.9,DX,10,"Malignant neoplasm of lip, unspecified",NA,,
Primary malignancy,C01,DX,10,Malignant neoplasm of base of tongue,NA,,
Primary malignancy,C02.0,DX,10,Malignant neoplasm of dorsal surface of tongue,NA,,
Primary malignancy,C02.1,DX,10,Malignant neoplasm of border of tongue,NA,,
Primary malignancy,C02.2,DX,10,Malignant neoplasm of ventral surface of tongue,NA,,
Primary malignancy,C02.3,DX,10,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",NA,,
Primary malignancy,C02.4,DX,10,Malignant neoplasm of lingual tonsil,NA,,
Primary malignancy,C02.8,DX,10,Malignant neoplasm of overlapping sites of tongue,NA,,
Primary malignancy,C02.9,DX,10,"Malignant neoplasm of tongue, unspecified",NA,,
Primary malignancy,C03.0,DX,10,Malignant neoplasm of upper gum,NA,,
Primary malignancy,C03.1,DX,10,Malignant neoplasm of lower gum,NA,,
Primary malignancy,C03.9,DX,10,"Malignant neoplasm of gum, unspecified",NA,,
Primary malignancy,C04.0,DX,10,Malignant neoplasm of anterior floor of mouth,NA,,
Primary malignancy,C04.1,DX,10,Malignant neoplasm of lateral floor of mouth,NA,,
Primary malignancy,C04.8,DX,10,Malignant neoplasm of overlapping sites of floor of mouth,NA,,
Primary malignancy,C04.9,DX,10,"Malignant neoplasm of floor of mouth, unspecified",NA,,
Primary malignancy,C05.0,DX,10,Malignant neoplasm of hard palate,NA,,
Primary malignancy,C05.1,DX,10,Malignant neoplasm of soft palate,NA,,
Primary malignancy,C05.2,DX,10,Malignant neoplasm of uvula,NA,,
Primary malignancy,C05.8,DX,10,Malignant neoplasm of overlapping sites of palate,NA,,
Primary malignancy,C05.9,DX,10,"Malignant neoplasm of palate, unspecified",NA,,
Primary malignancy,C06.0,DX,10,Malignant neoplasm of cheek mucosa,NA,,
Primary malignancy,C06.1,DX,10,Malignant neoplasm of vestibule of mouth,NA,,
Primary malignancy,C06.2,DX,10,Malignant neoplasm of retromolar area,NA,,
Primary malignancy,C06.80,DX,10,Malignant neoplasm of overlapping sites of unspecified parts of mouth,NA,,
Primary malignancy,C06.89,DX,10,Malignant neoplasm of overlapping sites of other parts of mouth,NA,,
Primary malignancy,C06.9,DX,10,"Malignant neoplasm of mouth, unspecified",NA,,
Primary malignancy,C07,DX,10,Malignant neoplasm of parotid gland,NA,,
Primary malignancy,C08.0,DX,10,Malignant neoplasm of submandibular gland,NA,,
Primary malignancy,C08.1,DX,10,Malignant neoplasm of sublingual gland,NA,,
Primary malignancy,C08.9,DX,10,"Malignant neoplasm of major salivary gland, unspecified",NA,,
Primary malignancy,C09.0,DX,10,Malignant neoplasm of tonsillar fossa,NA,,
Primary malignancy,C09.1,DX,10,Malignant neoplasm of tonsillar pillar (anterior) (posterior),NA,,
Primary malignancy,C09.8,DX,10,Malignant neoplasm of overlapping sites of tonsil,NA,,
Primary malignancy,C09.9,DX,10,"Malignant neoplasm of tonsil, unspecified",NA,,
Primary malignancy,C10.0,DX,10,Malignant neoplasm of vallecula,NA,,
Primary malignancy,C10.1,DX,10,Malignant neoplasm of anterior surface of epiglottis,NA,,
Primary malignancy,C10.2,DX,10,Malignant neoplasm of lateral wall of oropharynx,NA,,
Primary malignancy,C10.3,DX,10,Malignant neoplasm of posterior wall of oropharynx,NA,,
Primary malignancy,C10.4,DX,10,Malignant neoplasm of branchial cleft,NA,,
Primary malignancy,C10.8,DX,10,Malignant neoplasm of overlapping sites of oropharynx,NA,,
Primary malignancy,C10.9,DX,10,"Malignant neoplasm of oropharynx, unspecified",NA,,
Primary malignancy,C11.0,DX,10,Malignant neoplasm of superior wall of nasopharynx,NA,,
Primary malignancy,C11.1,DX,10,Malignant neoplasm of posterior wall of nasopharynx,NA,,
Primary malignancy,C11.2,DX,10,Malignant neoplasm of lateral wall of nasopharynx,NA,,
Primary malignancy,C11.3,DX,10,Malignant neoplasm of anterior wall of nasopharynx,NA,,
Primary malignancy,C11.8,DX,10,Malignant neoplasm of overlapping sites of nasopharynx,NA,,
Primary malignancy,C11.9,DX,10,"Malignant neoplasm of nasopharynx, unspecified",NA,,
Primary malignancy,C12,DX,10,Malignant neoplasm of pyriform sinus,NA,,
Primary malignancy,C13.0,DX,10,Malignant neoplasm of postcricoid region,NA,,
Primary malignancy,C13.1,DX,10,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",NA,,
Primary malignancy,C13.2,DX,10,Malignant neoplasm of posterior wall of hypopharynx,NA,,
Primary malignancy,C13.8,DX,10,Malignant neoplasm of overlapping sites of hypopharynx,NA,,
Primary malignancy,C13.9,DX,10,"Malignant neoplasm of hypopharynx, unspecified",NA,,
Primary malignancy,C14.0,DX,10,"Malignant neoplasm of pharynx, unspecified",NA,,
Primary malignancy,C14.2,DX,10,Malignant neoplasm of Waldeyer's ring,NA,,
Primary malignancy,C14.8,DX,10,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",NA,,
Primary malignancy,C15.3,DX,10,Malignant neoplasm of upper third of esophagus,NA,,
Primary malignancy,C15.4,DX,10,Malignant neoplasm of middle third of esophagus,NA,,
Primary malignancy,C15.5,DX,10,Malignant neoplasm of lower third of esophagus,NA,,
Primary malignancy,C15.8,DX,10,Malignant neoplasm of overlapping sites of esophagus,NA,,
Primary malignancy,C15.9,DX,10,"Malignant neoplasm of esophagus, unspecified",NA,,
Primary malignancy,C16.0,DX,10,Malignant neoplasm of cardia,NA,,
Primary malignancy,C16.1,DX,10,Malignant neoplasm of fundus of stomach,NA,,
Primary malignancy,C16.2,DX,10,Malignant neoplasm of body of stomach,NA,,
Primary malignancy,C16.3,DX,10,Malignant neoplasm of pyloric antrum,NA,,
Primary malignancy,C16.4,DX,10,Malignant neoplasm of pylorus,NA,,
Primary malignancy,C16.5,DX,10,"Malignant neoplasm of lesser curvature of stomach, unspecified",NA,,
Primary malignancy,C16.6,DX,10,"Malignant neoplasm of greater curvature of stomach, unspecified",NA,,
Primary malignancy,C16.8,DX,10,Malignant neoplasm of overlapping sites of stomach,NA,,
Primary malignancy,C16.9,DX,10,"Malignant neoplasm of stomach, unspecified",NA,,
Primary malignancy,C17.0,DX,10,Malignant neoplasm of duodenum,NA,,
Primary malignancy,C17.1,DX,10,Malignant neoplasm of jejunum,NA,,
Primary malignancy,C17.2,DX,10,Malignant neoplasm of ileum,NA,,
Primary malignancy,C17.3,DX,10,"Meckel's diverticulum, malignant",NA,,
Primary malignancy,C17.8,DX,10,Malignant neoplasm of overlapping sites of small intestine,NA,,
Primary malignancy,C17.9,DX,10,"Malignant neoplasm of small intestine, unspecified",NA,,
Primary malignancy,C18.0,DX,10,Malignant neoplasm of cecum,NA,,
Primary malignancy,C18.1,DX,10,Malignant neoplasm of appendix,NA,,
Primary malignancy,C18.2,DX,10,Malignant neoplasm of ascending colon,NA,,
Primary malignancy,C18.3,DX,10,Malignant neoplasm of hepatic flexure,NA,,
Primary malignancy,C18.4,DX,10,Malignant neoplasm of transverse colon,NA,,
Primary malignancy,C18.5,DX,10,Malignant neoplasm of splenic flexure,NA,,
Primary malignancy,C18.6,DX,10,Malignant neoplasm of descending colon,NA,,
Primary malignancy,C18.7,DX,10,Malignant neoplasm of sigmoid colon,NA,,
Primary malignancy,C18.8,DX,10,Malignant neoplasm of overlapping sites of colon,NA,,
Primary malignancy,C18.9,DX,10,"Malignant neoplasm of colon, unspecified",NA,,
Primary malignancy,C19,DX,10,Malignant neoplasm of rectosigmoid junction,NA,,
Primary malignancy,C20,DX,10,Malignant neoplasm of rectum,NA,,
Primary malignancy,C21.0,DX,10,"Malignant neoplasm of anus, unspecified",NA,,
Primary malignancy,C21.1,DX,10,Malignant neoplasm of anal canal,NA,,
Primary malignancy,C21.2,DX,10,Malignant neoplasm of cloacogenic zone,NA,,
Primary malignancy,C21.8,DX,10,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",NA,,
Primary malignancy,C22.0,DX,10,Liver cell carcinoma,NA,,
Primary malignancy,C22.1,DX,10,Intrahepatic bile duct carcinoma,NA,,
Primary malignancy,C22.2,DX,10,Hepatoblastoma,NA,,
Primary malignancy,C22.3,DX,10,Angiosarcoma of liver,NA,,
Primary malignancy,C22.4,DX,10,Other sarcomas of liver,NA,,
Primary malignancy,C22.7,DX,10,Other specified carcinomas of liver,NA,,
Primary malignancy,C22.8,DX,10,"Malignant neoplasm of liver, primary, unspecified as to type",NA,,
Primary malignancy,C22.9,DX,10,"Malignant neoplasm of liver, not specified as primary or secondary",NA,,
Primary malignancy,C23,DX,10,Malignant neoplasm of gallbladder,NA,,
Primary malignancy,C24.0,DX,10,Malignant neoplasm of extrahepatic bile duct,NA,,
Primary malignancy,C24.1,DX,10,Malignant neoplasm of ampulla of Vater,NA,,
Primary malignancy,C24.8,DX,10,Malignant neoplasm of overlapping sites of biliary tract,NA,,
Primary malignancy,C24.9,DX,10,"Malignant neoplasm of biliary tract, unspecified",NA,,
Primary malignancy,C25.0,DX,10,Malignant neoplasm of head of pancreas,NA,,
Primary malignancy,C25.1,DX,10,Malignant neoplasm of body of pancreas,NA,,
Primary malignancy,C25.2,DX,10,Malignant neoplasm of tail of pancreas,NA,,
Primary malignancy,C25.3,DX,10,Malignant neoplasm of pancreatic duct,NA,,
Primary malignancy,C25.4,DX,10,Malignant neoplasm of endocrine pancreas,NA,,
Primary malignancy,C25.7,DX,10,Malignant neoplasm of other parts of pancreas,NA,,
Primary malignancy,C25.8,DX,10,Malignant neoplasm of overlapping sites of pancreas,NA,,
Primary malignancy,C25.9,DX,10,"Malignant neoplasm of pancreas, unspecified",NA,,
Primary malignancy,C26.0,DX,10,"Malignant neoplasm of intestinal tract, part unspecified",NA,,
Primary malignancy,C26.1,DX,10,Malignant neoplasm of spleen,NA,,
Primary malignancy,C26.9,DX,10,Malignant neoplasm of ill-defined sites within the digestive system,NA,,
Primary malignancy,C30.0,DX,10,Malignant neoplasm of nasal cavity,NA,,
Primary malignancy,C30.1,DX,10,Malignant neoplasm of middle ear,NA,,
Primary malignancy,C31.0,DX,10,Malignant neoplasm of maxillary sinus,NA,,
Primary malignancy,C31.1,DX,10,Malignant neoplasm of ethmoidal sinus,NA,,
Primary malignancy,C31.2,DX,10,Malignant neoplasm of frontal sinus,NA,,
Primary malignancy,C31.3,DX,10,Malignant neoplasm of sphenoid sinus,NA,,
Primary malignancy,C31.8,DX,10,Malignant neoplasm of overlapping sites of accessory sinuses,NA,,
Primary malignancy,C31.9,DX,10,"Malignant neoplasm of accessory sinus, unspecified",NA,,
Primary malignancy,C32.0,DX,10,Malignant neoplasm of glottis,NA,,
Primary malignancy,C32.1,DX,10,Malignant neoplasm of supraglottis,NA,,
Primary malignancy,C32.2,DX,10,Malignant neoplasm of subglottis,NA,,
Primary malignancy,C32.3,DX,10,Malignant neoplasm of laryngeal cartilage,NA,,
Primary malignancy,C32.8,DX,10,Malignant neoplasm of overlapping sites of larynx,NA,,
Primary malignancy,C32.9,DX,10,"Malignant neoplasm of larynx, unspecified",NA,,
Primary malignancy,C33,DX,10,Malignant neoplasm of trachea,NA,,
Primary malignancy,C34.00,DX,10,Malignant neoplasm of unspecified main bronchus,NA,,
Primary malignancy,C34.01,DX,10,Malignant neoplasm of right main bronchus,NA,,
Primary malignancy,C34.02,DX,10,Malignant neoplasm of left main bronchus,NA,,
Primary malignancy,C34.10,DX,10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",NA,,
Primary malignancy,C34.11,DX,10,"Malignant neoplasm of upper lobe, right bronchus or lung",NA,,
Primary malignancy,C34.12,DX,10,"Malignant neoplasm of upper lobe, left bronchus or lung",NA,,
Primary malignancy,C34.2,DX,10,"Malignant neoplasm of middle lobe, bronchus or lung",NA,,
Primary malignancy,C34.30,DX,10,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",NA,,
Primary malignancy,C34.31,DX,10,"Malignant neoplasm of lower lobe, right bronchus or lung",NA,,
Primary malignancy,C34.32,DX,10,"Malignant neoplasm of lower lobe, left bronchus or lung",NA,,
Primary malignancy,C34.80,DX,10,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,NA,,
Primary malignancy,C34.81,DX,10,Malignant neoplasm of overlapping sites of right bronchus and lung,NA,,
Primary malignancy,C34.82,DX,10,Malignant neoplasm of overlapping sites of left bronchus and lung,NA,,
Primary malignancy,C34.90,DX,10,Malignant neoplasm of unspecified part of unspecified bronchus or lung,NA,,
Primary malignancy,C34.91,DX,10,Malignant neoplasm of unspecified part of right bronchus or lung,NA,,
Primary malignancy,C34.92,DX,10,Malignant neoplasm of unspecified part of left bronchus or lung,NA,,
Primary malignancy,C37,DX,10,Malignant neoplasm of thymus,NA,,
Primary malignancy,C38.0,DX,10,Malignant neoplasm of heart,NA,,
Primary malignancy,C38.1,DX,10,Malignant neoplasm of anterior mediastinum,NA,,
Primary malignancy,C38.2,DX,10,Malignant neoplasm of posterior mediastinum,NA,,
Primary malignancy,C38.3,DX,10,"Malignant neoplasm of mediastinum, part unspecified",NA,,
Primary malignancy,C38.4,DX,10,Malignant neoplasm of pleura,NA,,
Primary malignancy,C38.8,DX,10,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",NA,,
Primary malignancy,C39.0,DX,10,"Malignant neoplasm of upper respiratory tract, part unspecified",NA,,
Primary malignancy,C39.9,DX,10,"Malignant neoplasm of lower respiratory tract, part unspecified",NA,,
Primary malignancy,C40.00,DX,10,Malignant neoplasm of scapula and long bones of unspecified upper limb,NA,,
Primary malignancy,C40.01,DX,10,Malignant neoplasm of scapula and long bones of right upper limb,NA,,
Primary malignancy,C40.02,DX,10,Malignant neoplasm of scapula and long bones of left upper limb,NA,,
Primary malignancy,C40.10,DX,10,Malignant neoplasm of short bones of unspecified upper limb,NA,,
Primary malignancy,C40.11,DX,10,Malignant neoplasm of short bones of right upper limb,NA,,
Primary malignancy,C40.12,DX,10,Malignant neoplasm of short bones of left upper limb,NA,,
Primary malignancy,C40.20,DX,10,Malignant neoplasm of long bones of unspecified lower limb,NA,,
Primary malignancy,C40.21,DX,10,Malignant neoplasm of long bones of right lower limb,NA,,
Primary malignancy,C40.22,DX,10,Malignant neoplasm of long bones of left lower limb,NA,,
Primary malignancy,C40.30,DX,10,Malignant neoplasm of short bones of unspecified lower limb,NA,,
Primary malignancy,C40.31,DX,10,Malignant neoplasm of short bones of right lower limb,NA,,
Primary malignancy,C40.32,DX,10,Malignant neoplasm of short bones of left lower limb,NA,,
Primary malignancy,C40.80,DX,10,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,NA,,
Primary malignancy,C40.81,DX,10,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,NA,,
Primary malignancy,C40.82,DX,10,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,NA,,
Primary malignancy,C40.90,DX,10,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,NA,,
Primary malignancy,C40.91,DX,10,Malignant neoplasm of unspecified bones and articular cartilage of right limb,NA,,
Primary malignancy,C40.92,DX,10,Malignant neoplasm of unspecified bones and articular cartilage of left limb,NA,,
Primary malignancy,C41.0,DX,10,Malignant neoplasm of bones of skull and face,NA,,
Primary malignancy,C41.1,DX,10,Malignant neoplasm of mandible,NA,,
Primary malignancy,C41.2,DX,10,Malignant neoplasm of vertebral column,NA,,
Primary malignancy,C41.3,DX,10,"Malignant neoplasm of ribs, sternum and clavicle",NA,,
Primary malignancy,C41.4,DX,10,"Malignant neoplasm of pelvic bones, sacrum and coccyx",NA,,
Primary malignancy,C41.9,DX,10,"Malignant neoplasm of bone and articular cartilage, unspecified",NA,,
Primary malignancy,C43.0,DX,10,Malignant melanoma of lip,NA,,
Primary malignancy,C43.10,DX,10,"Malignant melanoma of unspecified eyelid, including canthus",NA,,
Primary malignancy,C43.11,DX,10,"Malignant melanoma of right eyelid, including canthus",NA,,
Primary malignancy,C43.12,DX,10,"Malignant melanoma of left eyelid, including canthus",NA,,
Primary malignancy,C43.20,DX,10,Malignant melanoma of unspecified ear and external auricular canal,NA,,
Primary malignancy,C43.21,DX,10,Malignant melanoma of right ear and external auricular canal,NA,,
Primary malignancy,C43.22,DX,10,Malignant melanoma of left ear and external auricular canal,NA,,
Primary malignancy,C43.30,DX,10,Malignant melanoma of unspecified part of face,NA,,
Primary malignancy,C43.31,DX,10,Malignant melanoma of nose,NA,,
Primary malignancy,C43.39,DX,10,Malignant melanoma of other parts of face,NA,,
Primary malignancy,C43.4,DX,10,Malignant melanoma of scalp and neck,NA,,
Primary malignancy,C43.51,DX,10,Malignant melanoma of anal skin,NA,,
Primary malignancy,C43.52,DX,10,Malignant melanoma of skin of breast,NA,,
Primary malignancy,C43.59,DX,10,Malignant melanoma of other part of trunk,NA,,
Primary malignancy,C43.60,DX,10,"Malignant melanoma of unspecified upper limb, including shoulder",NA,,
Primary malignancy,C43.61,DX,10,"Malignant melanoma of right upper limb, including shoulder",NA,,
